age_range,industry,job_title,annual_salary,"How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Please only include monetary compensation here, not the value of benefits.",currency,"If ""Other,"" please indicate the currency here: ",country,"If you're in the U.S., what state do you work in?",What city do you work in?,current_years_experience,How many years of professional work experience do you have in your field?,education,gender,What is your race? (Choose all that apply.)
18-24,Health,Other,37440,3600.0,USD,,United States,Arizona,Chandler,5-7 years,2 - 4 years,High School,Woman,White
35-44,Engineering/Manufacturing,Customer Service,40000,14000.0,USD,,United States,California,Riverside,11 - 20 years,11 - 20 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Education,Director,78000,,USD,,United States,California,Los Angeles ,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
35-44,Health,Other,110000,0.0,CAD,,Canada,,Rural Ontario ,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Agriculture,HR Generalist/Manager,85000,,USD,,United States,Colorado,Loveland,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Media/Entertainment,Other,26500,,USD,,United States,Arizona,Flagstaff,5-7 years,5-7 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Financial Analyst,75000,4500.0,USD,,United States,Wisconsin,Milwaukee,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Other,Other,59900,15000.0,USD,,United States,South Carolina,Greenville ,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Arts/Design,Other,35000,0.0,USD,,United States,Georgia,Savannah,5-7 years,5-7 years,College degree,Woman,White
35-44,Information Technology,Director,175000,28000.0,USD,,United States,California,San Francisco,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Teacher,50000,,USD,,United States,Ohio,Cleveland,8 - 10 years,5-7 years,Master's degree,Woman,White
45-54,Education,Other,43000,0.0,USD,,Other,Georgia,Atlanta,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Information Technology,IT/Systems,954000,4000.0,USD,,United States,Ohio,Cleveland ,11 - 20 years,8 - 10 years,Some college,Woman,"Asian or Asian American, Native American or Alaska Native"
35-44,Retail/Sales,Other,99000,5200.0,USD,,United States,District of Columbia,Washington ,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Legal,Other,165000,,USD,,United States,Maryland,Baltimore,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Prefer not to answer,Another option not listed here or prefer not to answer
35-44,Media/Entertainment,Controller,60000,4000.0,EUR,,France,,Paris,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Finance,Project Manager,155650,0.0,USD,,United States,California,San Jose,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Health,Other,52000,,USD,,United States,Massachusetts,North Adams,11 - 20 years,11 - 20 years,Some college,Woman,White
25-34,Media/Entertainment,Coordinator,48000,,USD,,United States,California,Los Angeles,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Legal,Other,100000,,CAD,,Canada,,Vancouver ,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
25-34,Education,Engineer (Non-software),105000,0.0,USD,,United States,New Jersey,Hoboken,11 - 20 years,11 - 20 years,Master's degree,Non-binary,White
45-54,Business/Consulting,Other,90000,10000.0,AUD/NZD,,Australia,,Mackay,31 - 40 years,11 - 20 years,Master's degree,Woman,White
35-44,Government,HR Generalist/Manager,110000,0.0,CAD,,Canada,,Vancouver,11 - 20 years,11 - 20 years,College degree,Woman,"Native American or Alaska Native, White"
25-34,Retail/Sales,Manager (General),28000,6000.0,USD,,United States,Colorado,Fort Collins,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Agriculture,Manager (General),122000,10000.0,USD,,United States,California,Orange County,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Finance,Manager (General),65000,,USD,,United States,Delaware,Wilmington ,8 - 10 years,5-7 years,College degree,Woman,White
45-54,Transportation,Office Manager,74000,8000.0,USD,,United States,Alaska,south central AK,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Energy,Manager (General),95000,12000.0,CAD,,Canada,,Nanaimo ,11 - 20 years,11 - 20 years,Some college,Man,White
35-44,Health,Other,160000,6000.0,USD,,United States,California,San Francisco,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Marketing,Director,50500,,USD,,Other,,Bangkok,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Information Technology,Software Engineer,99000,4900.0,USD,,United States,Texas,Austin,5-7 years,5-7 years,College degree,Woman,White
45-54,Health,Other,120000,3500.0,AUD/NZD,,Australia,,Melbourne,31 - 40 years,11 - 20 years,College degree,Woman,White
25-34,Information Technology,Consultant,50000,8000.0,GBP,,United Kingdom,,Remote,8 - 10 years,5-7 years,Some college,Man,White
35-44,Business/Consulting,Other,70000,2000.0,USD,,United States,Minnesota,St. Paul,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Health,Manager (General),104000,7000.0,USD,,United States,Washington,Renton,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
45-54,Government,Other,157000,2500.0,USD,,United States,California,Ventura,31 - 40 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Health,Other,22000,0.0,GBP,,United Kingdom,,Huntingdon,2 - 4 years,2 - 4 years,High School,Woman,White
35-44,Biotech,Other,43000,2151.0,USD,,United States,Connecticut,Branford,21 - 30 years,11 - 20 years,Some college,Woman,White
35-44,Biotech,Other,43000,2151.0,USD,,United States,Connecticut,Branford,21 - 30 years,11 - 20 years,Some college,Woman,White
25-34,Finance,Other,21736,,GBP,,United Kingdom,,Northampton,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Finance,Other,32727,0.0,GBP,,United Kingdom,,Dundee,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Government,Analyst (General),88000,0.0,USD,,United States,California,Oakland,8 - 10 years,5-7 years,College degree,Man,Asian or Asian American
25-34,Marketing,Manager (General),86250,0.0,USD,,United States,Washington,Seattle,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Finance,Manager (General),19500,1900.0,GBP,,United Kingdom,,Coventry ,8 - 10 years,2 - 4 years,Some college,Woman,White
45-54,Biotech,Director,210000,50000.0,USD,,United States,Washington,Seattle,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
35-44,Not Specified,Manager (General),35500,0.0,GBP,,United Kingdom,,Skipton,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Health,Other,53884,5000.0,USD,,United Kingdom,,Norwich,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,White
35-44,Government,Director,180000,24000.0,USD,,United States,Texas,Midland,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Other,Other,16000,0.0,EUR,,Other,,Teramo,2 - 4 years,2 - 4 years,PhD,Woman,Another option not listed here or prefer not to answer
45-54,Government,Other,45000,3000.0,USD,,United States,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Transportation,Manager (General),38000,0.0,GBP,,United Kingdom,,London,11 - 20 years,2 - 4 years,High School,Woman,White
25-34,Legal,Other,165000,20000.0,USD,,United States,California,Los Angeles ,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Health,Director,91000,0.0,GBP,,United Kingdom,,Southampton ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Other,48396,0.0,GBP,,United Kingdom,,Coventry,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Legal,Other,57000,,USD,,United States,Oklahoma,Tulsa,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Teacher,36961,0.0,GBP,,United Kingdom,,Buckinghamshire ,5-7 years,5-7 years,College degree,Woman,White
55-64,Legal,Director,85500,2500.0,USD,,United States,Texas,Dallas,31 - 40 years,5-7 years,Some college,Woman,White
45-54,Other,Manager (General),90000,0.0,AUD/NZD,,Australia,,Gympie ,21 - 30 years,2 - 4 years,Master's degree,Woman,White
35-44,Media/Entertainment,Analyst (General),60000,0.0,AUD/NZD,,Australia,,Sydney,11 - 20 years,5-7 years,College degree,Woman,White
18-24,Information Technology,Software Engineer,155000,105000.0,USD,,United States,California,Mountain View,2 - 4 years,2 - 4 years,College degree,Man,Another option not listed here or prefer not to answer
55-64,Nonprofit,Other,250000,12000.0,CAD,,Canada,,Toronto Ontario,31 - 40 years,11 - 20 years,Master's degree,Woman,White
35-44,Information Technology,Product Manager,90000,50000.0,EUR,,Ireland,,Dublin,11 - 20 years,21 - 30 years,College degree,Woman,White
35-44,Information Technology,Manager (General),75000,,GBP,,United Kingdom,,Basingstoke ,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Finance,Project Manager,52000,,GBP,,United Kingdom,,Leeds,11 - 20 years,11 - 20 years,College degree,Woman,White
18-24,Engineering/Manufacturing,Engineer (Non-software),30000,2000.0,GBP,,United Kingdom,,Chirk,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Health,Team Lead,65000,,AUD/NZD,,New Zealand,,"Lower Hutt, Wellington",8 - 10 years,1 year or less,High School,Woman,White
25-34,Government,Other,21500,,GBP,,United Kingdom,,Swansea,5-7 years,2 - 4 years,High School,Woman,White
18-24,Government,Other,31500,,GBP,,United Kingdom,,Leeds,1 year or less,1 year or less,College degree,Woman,White
35-44,Retail/Sales,VP/Senior Leadership,190000,25000.0,USD,,United States,New York,NYC,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Information Technology,Manager (General),99000,2000.0,EUR,,Germany,,Munich,8 - 10 years,5-7 years,PhD,Man,White
35-44,Legal,Manager (General),140000,10000.0,USD,,United States,Illinois,Chicago,11 - 20 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Information Technology,Other,97000,23000.0,GBP,,United Kingdom,,London,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Media/Entertainment,Director,60000,12000.0,USD,,United States,Florida,Jacksonville ,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Nonprofit,Other,27412,,GBP,,United Kingdom,,London,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Insurance,Analyst (General),22000,0.0,GBP,,United Kingdom,,Edinburgh (Scotland),11 - 20 years,2 - 4 years,Some college,Woman,White
25-34,Education,Teacher,46000,0.0,USD,,United States,Florida,Bradenton,11 - 20 years,11 - 20 years,College degree,Man,White
35-44,Media/Entertainment,Other,76000,,AUD/NZD,,Australia,,Adelaide,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing,Engineer (Non-software),133000,20000.0,AUD/NZD,,Australia,,Singleton,2 - 4 years,2 - 4 years,College degree,Man,White
25-34,Engineering/Manufacturing,Team Lead,127000,4000.0,USD,,United States,New Mexico,Albuquerque ,5-7 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Insurance,Analyst (General),26700,1500.0,GBP,,United Kingdom,,Birmingham,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Other,Librarian,54000,0.0,USD,,United States,New York,Delmar ,5-7 years,2 - 4 years,Master's degree,Woman,White
45-54,Finance,Accountant,64000,0.0,USD,,United States,New York,Rochester,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Information Technology,Other,57000,0.0,USD,,United States,Nebraska,Omaha,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Other,Other,29120,,USD,,United States,Ohio,Grove City,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Finance,Manager (General),48495,2500.0,USD,,United States,Massachusetts,Worcester,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Nonprofit,Director,120000,0.0,USD,,United States,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Other,52000,,USD,,United States,New Hampshire,Cheshire County,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Insurance,Director,132000,15000.0,USD,,United States,"Indiana, Massachusetts","I left Boston for Indiana, so get a Boston salary in south bend ",8 - 10 years,8 - 10 years,Master's degree,Woman,White
18-24,Nonprofit,Coordinator,42500,0.0,USD,,United States,Maryland,Silver Spring,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Transportation,Other,27000,,GBP,,United Kingdom,,Manchester ,11 - 20 years,2 - 4 years,Some college,Woman,White
45-54,Real Estate,Project Manager,60000,500.0,EUR,,Ireland,,Dublin,11 - 20 years,2 - 4 years,College degree,Woman,White
45-54,Finance,Consultant,112000,,AUD/NZD,,New Zealand,,Auckland,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Marketing,Writer/Editor,90000,15000.0,USD,,United States,New York,NYC,11 - 20 years,2 - 4 years,PhD,Woman,White
25-34,Health,Manager (General),23920,,GBP,,United Kingdom,,Glasgow,11 - 20 years,8 - 10 years,College degree,Woman,White
18-24,Education,Other,19760,,GBP,,United Kingdom,,nr. London,1 year or less,1 year or less,College degree,Woman,White
35-44,Government,Other,199800,0.0,AUD/NZD,,Australia,,Canberra,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Business/Consulting,Manager (General),72500,0.0,USD,,United States,Illinois,Bannockburn,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Health,Other,135000,1800.0,USD,,United States,Maryland,,8 - 10 years,5-7 years,Master's degree,Woman,Black or African American
45-54,Not Specified,Other,52000,9000.0,USD,,United States,Illinois,Libertyville,5-7 years,5-7 years,Some college,Woman,White
18-24,Marketing,Other,42000,700.0,USD,,United States,Pennsylvania,"Lancaster, Pa",2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Nonprofit,Coordinator,42000,,USD,,United States,California,San Diego,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Media/Entertainment,Other,13000,0.0,EUR,,Germany,,Berlin,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Health,Other,39249,1000.0,USD,,United States,Tennessee,Crossville,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Coordinator,67500,2000.0,USD,,United States,Pennsylvania,Royersford,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Information Technology,Manager (General),125000,25000.0,USD,,United States,New Jersey,Ridgefield Park,21 - 30 years,11 - 20 years,Master's degree,Woman,White
45-54,Education,Professor/Faculty,50000,0.0,GBP,,United Kingdom,,London,21 - 30 years,11 - 20 years,PhD,Woman,White
25-34,Health,Manager (General),100000,1500.0,USD,,United States,Virginia,Skip,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Information Technology,Software Engineer,86000,,GBP,,Other,,Douglas,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Software Engineer,147000,0.0,USD,,United States,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Finance,Other,77000,0.0,AUD/NZD,,Australia,,Brisbane,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Marketing,Content/Copywriter,52000,,USD,,United States,Texas,Houston,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Information Technology,Software Engineer,45000,5000.0,GBP,,United Kingdom,,Edinburgh ,2 - 4 years,2 - 4 years,Master's degree,Man,White
25-34,Legal,Coordinator,50000,,CAD,,Canada,,Halifax,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Finance,Other,95000,0.0,USD,,United States,Ohio,Canton,8 - 10 years,8 - 10 years,Master's degree,Not Specified,White
45-54,Education,Other,153000,7500.0,USD,,United States,Michigan,Ann Arbor,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing,Coordinator,58000,5000.0,USD,,United States,Iowa,Ankeny,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Engineering/Manufacturing,QA/Test Engineer,130000,10000.0,USD,,United States,Minnesota,Eden Prairie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting,Manager (General),86000,7000.0,GBP,,United Kingdom,,London,5-7 years,5-7 years,College degree,Woman,White
35-44,Finance,VP/Senior Leadership,160000,350000.0,USD,,United States,New Jersey,Jersey City,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Manager (General),70000,0.0,USD,,United States,Rhode Island,Providence ,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Education,Social Worker,47500,,USD,,United States,Missouri,St. Louis,5-7 years,1 year or less,Master's degree,Woman,White
35-44,Other,Other,25000,0.0,GBP,,United Kingdom,,Portsmouth,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Finance,Other,98000,3000.0,AUD/NZD,,Australia,,Melbourne,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
35-44,Health,Office Manager,26000,0.0,GBP,,United Kingdom,,Lincoln,11 - 20 years,2 - 4 years,Some college,Woman,White
25-34,Information Technology,Manager (General),164000,100000.0,USD,,United States,California,San Francisco,5-7 years,5-7 years,College degree,Woman,White
25-34,Retail/Sales,Manager (General),71000,10000.0,USD,,United States,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,Some college,Woman,White
25-34,Media/Entertainment,Manager (General),85000,4000.0,USD,,United States,Georgia,Atlanta ,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Government,Other,94523,,USD,,United States,California,Richmond,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Health,Data Scientist/Analyst,105188,,USD,,United States,Minnesota,Minneapolis ,2 - 4 years,2 - 4 years,Master's degree,Woman,White
35-44,Health,Supervisor,86000,,USD,,United States,Pennsylvania,Harrisburg,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Nonprofit,Other,45000,6000.0,USD,,United States,Tennessee,Murfreesboro ,5-7 years,1 year or less,Master's degree,Woman,White
35-44,Information Technology,Project Manager,125000,,USD,,United States,District of Columbia,Washington DC ,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Government,Analyst (General),43000,1000.0,USD,,United States,Virginia,Tysons,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Nonprofit,Manager (General),73000,,USD,,United States,Washington,Seattle ,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Arts/Design,Other,80000,3000.0,USD,,United States,Florida,St. Petersburg ,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Other,Director,100000,30000.0,USD,,United States,Texas,Houston,11 - 20 years,5-7 years,College degree,Woman,White
45-54,Arts/Design,Other,100000,,USD,,United States,Minnesota,Minneapolis,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Information Technology,Software Engineer,220000,130000.0,USD,,United States,Wisconsin,Madison,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American
35-44,Information Technology,Director,119000,39420.0,GBP,,United Kingdom,,Remote,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Energy,Other,19750,,GBP,,United Kingdom,,Sheffield,5-7 years,1 year or less,High School,Woman,White
25-34,Health,Other,90000,0.0,GBP,,United Kingdom,,Belfast,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Marketing,Director,53000,60000.0,USD,,United States,Virginia,Alexandria,11 - 20 years,2 - 4 years,College degree,Woman,White
35-44,Finance,Other,160000,80000.0,USD,,United States,Texas,Austin,21 - 30 years,11 - 20 years,College degree,Prefer not to answer,Another option not listed here or prefer not to answer
35-44,Other,HR Generalist/Manager,62500,0.0,USD,,United States,Florida,Tallahassee,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Director,57000,2000.0,USD,,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Retail/Sales,Controller,85000,,USD,,United States,Massachusetts,Raynham,31 - 40 years,31 - 40 years,College degree,Woman,White
35-44,Biotech,Director,219500,45000.0,USD,,United States,Massachusetts,Remote,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting,Manager (General),130000,25000.0,USD,,United States,New York,NYC,5-7 years,5-7 years,College degree,Woman,White
35-44,Education,Professor/Faculty,73000,20000.0,USD,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,PhD,Woman,White
35-44,Information Technology,Manager (General),119000,10000.0,USD,,United States,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Energy,Analyst (General),89250,,USD,,United States,North Carolina,Charlotte,11 - 20 years,2 - 4 years,College degree,Man,White
35-44,Retail/Sales,Engineer (Non-software),83000,7000.0,EUR,,Germany,,Munich,11 - 20 years,11 - 20 years,Master's degree,Man,White
25-34,Retail/Sales,Other,55000,55000.0,USD,,United States,Pennsylvania,Philadelphia ,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Media/Entertainment,Writer/Editor,55000,,USD,,United States,New York,New York,5-7 years,5-7 years,College degree,Woman,White
35-44,Information Technology,Consultant,117000,65000.0,USD,,United States,Oregon,Corvallis,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofit,Other,55000,,USD,,United States,Pennsylvania,Philadelphia ,2 - 4 years,2 - 4 years,College degree,Man,White
35-44,Transportation,Supervisor,65000,1500.0,USD,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education,Coordinator,59500,500.0,USD,,United States,Michigan,Dearborn Heights,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Insurance,Other,29120,1000.0,USD,,United States,Florida,Work from Home,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Legal,Other,62551,,USD,,United States,Wisconsin,Milwaukee ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Other,Director,73500,5000.0,USD,,United States,Tennessee,Knoxville,8 - 10 years,5-7 years,College degree,Woman,White
18-24,Marketing,Marketing Manager,27500,500.0,EUR,,France,,Paris,2 - 4 years,2 - 4 years,College degree,Man,White
35-44,Transportation,Manager (General),70000,,USD,,United States,Georgia,Savannah ,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Education,Coordinator,96000,,CAD,,Canada,,Vancouver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Agriculture,HR Generalist/Manager,84000,7000.0,USD,,United States,Arizona,Yuma,21 - 30 years,11 - 20 years,Some college,Woman,White
35-44,Education,Director,70000,,USD,,United States,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White
18-24,Business/Consulting,Analyst (General),90000,30000.0,USD,,United States,Massachusetts,Boston,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
45-54,Agriculture,Manager (General),35880,2500.0,USD,,United States,Georgia,Woodstock ,31 - 40 years,21 - 30 years,College degree,Woman,White
35-44,Education,Other,41000,1000.0,USD,,United States,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
55-64,Biotech,Director,116300,18000.0,CAD,,Canada,,Toronto,31 - 40 years,31 - 40 years,College degree,Woman,White
35-44,Education,Coordinator,76000,0.0,USD,,United States,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Government,Manager (General),110452,,USD,,United States,Michigan,Lansing,11 - 20 years,11 - 20 years,Master's degree,Woman,White
55-64,Nonprofit,Other,34000,,USD,,United States,Florida,Jacksonville,31 - 40 years,11 - 20 years,Master's degree,Woman,White
25-34,Government,Team Lead,28000,,GBP,,United Kingdom,,London,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Agriculture,Other,66250,2000.0,USD,,United States,New York,Batavia,11 - 20 years,11 - 20 years,Some college,Woman,White
35-44,Nonprofit,Other,39000,,USD,,United States,Maine,Portland,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Other,Other,30000,0.0,USD,,United States,Florida,Sarasota,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Information Technology,Other,165000,2000.0,USD,,United States,California,San Francisco,11 - 20 years,5-7 years,College degree,Woman,White
18-24,Other,Other,43000,3000.0,USD,,United States,North Carolina,Raleigh,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Other,Director,44000,0.0,USD,,United States,New Hampshire,Troy,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Retail/Sales,Other,44000,,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Media/Entertainment,Writer/Editor,100000,1000.0,USD,,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Legal,Other,50000,0.0,USD,,United States,Georgia,Griffin,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Finance,Other,34320,0.0,USD,,United States,Washington,Stanwood,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
35-44,Other,Other,42000,,EUR,,Other,,prague,2 - 4 years,5-7 years,Master's degree,Woman,White
55-64,Education,Coordinator,68000,0.0,USD,,United States,New Jersey,Princeton ,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Legal,Other,65000,0.0,USD,,United States,Georgia,Atlanta,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
18-24,Media/Entertainment,Other,78000,16000.0,USD,,United States,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Health,Manager (General),50000,,USD,,United States,Ohio,Cincinnati ,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Retail/Sales,Supervisor,72000,10000.0,USD,,United States,Texas,Dallas ,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Media/Entertainment,Writer/Editor,100000,,USD,,United States,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Finance,Project Manager,46000,13000.0,GBP,,United Kingdom,,Edinburgh,11 - 20 years,2 - 4 years,College degree,Woman,White
25-34,Business/Consulting,Director,62300,,USD,,United States,Oregon,Portland,8 - 10 years,8 - 10 years,Some college,Woman,White
45-54,Business/Consulting,HR Generalist/Manager,130000,9000.0,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Finance,Accountant,60000,,USD,,United States,Texas,San Antonio,2 - 4 years,2 - 4 years,College degree,Man,White
35-44,Real Estate,Controller,120000,12000.0,USD,,United States,Delaware,Wilmington,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,Manager (General),80000,0.0,USD,,United States,Florida,Ft. Walton,31 - 40 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
55-64,Engineering/Manufacturing,Manager (General),78000,,USD,,Other,California,San Jose ,21 - 30 years,11 - 20 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Media/Entertainment,Other,40000,0.0,USD,,United States,Maine,Portland ,8 - 10 years,8 - 10 years,College degree,Non-binary,White
35-44,Information Technology,Software Engineer,230000,,USD,,United States,California,San Francisco,11 - 20 years,8 - 10 years,PhD,Man,White
35-44,Government,Other,125000,2000.0,USD,,United States,California,Sacramento,11 - 20 years,11 - 20 years,College degree,Woman,"Native American or Alaska Native, White"
35-44,Information Technology,Director,210000,40000.0,USD,,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Man,White
25-34,Retail/Sales,Other,32000,200.0,USD,,United States,Washington,Bainbridge Island,2 - 4 years,1 year or less,Master's degree,Woman,White
18-24,Nonprofit,Manager (General),40000,,USD,,United States,Missouri,Kansas City,2 - 4 years,1 year or less,College degree,Woman,White
25-34,Agriculture,Other,19200,1000.0,GBP,,United Kingdom,,Lancashire,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Nonprofit,Project Manager,59000,,USD,,United States,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman,Black or African American
35-44,Nonprofit,Director,95000,0.0,USD,,United States,Massachusetts,Boston,11 - 20 years,5-7 years,College degree,Woman,White
